theme,positive,neutral,negative,count,percentage
华为 华为 智驾,0.3232476046394352,0.24962178517397882,0.427130610186586,1983,0.025407767114687303
煽情 开始,0.5,0.4166666666666667,0.08333333333333333,12,0.0001537535075018899
fsd 美国,0.3941798941798942,0.18386243386243387,0.421957671957672,756,0.009686470972619063
记录仪 行车,0.3888888888888889,0.14814814814814814,0.46296296296296297,54,0.0006918907837585045
没有 问题,0.3613887647978557,0.2321867321867322,0.4064245030154121,71632,0.917805937447948
驾驶 自动,0.25773195876288657,0.15721649484536082,0.5850515463917526,2716,0.03479954386459441
问界 小鹏,0.2796420581655481,0.23378076062639822,0.4865771812080537,894,0.011454636308890797
