theme,positive,neutral,negative,count,percentage
电池 比亚迪,0.22033898305084745,0.2457627118644068,0.5338983050847458,118,0.003613535446332874
开车 司机,0.3046683046683047,0.20638820638820637,0.48894348894348894,407,0.012463634971673557
问题 导航,0.336986301369863,0.18767123287671234,0.47534246575342465,730,0.022354922676466084
泊车 自动 泊车,0.49795918367346936,0.2163265306122449,0.2857142857142857,245,0.007502679528403001
fsd 导航,0.35877862595419846,0.20610687022900764,0.4351145038167939,393,0.012034910427193386
华为 智驾,0.36487496602337594,0.23012367491166077,0.4050013590649633,29432,0.9013014852243149
驾驶 自动,0.26044703595724006,0.15451895043731778,0.5850340136054422,1029,0.031511254019292605
智能 智能 驾驶,0.4219269102990033,0.2026578073089701,0.3754152823920266,301,0.009217577706323686
