theme,positive,neutral,negative,count,percentage
睡着 驾驶员,0.0847457627118644,0.15254237288135594,0.7627118644067796,59,0.0018158315893142928
智驾 华为 智驾,0.4375,0.18518518518518517,0.3773148148148148,864,0.026591160901144897
华为 没有,0.36118970849509774,0.22955188524050799,0.4092584062643943,30394,0.9354302597562477
没错 ai,0.25,0.20833333333333334,0.5416666666666666,24,0.000738643358365136
理想 商单,0.3567073170731707,0.2682926829268293,0.375,328,0.010094792564323525
识别 限速,0.2407079646017699,0.11858407079646018,0.6407079646017699,565,0.017388895728179244
速度 设置,0.5155038759689923,0.1434108527131783,0.34108527131782945,258,0.007940416102425213
